categoria_id,sku,precio_compra,img_caratula,precio_intercambio,precio_venta,categoria_str,titulo
821,711719123996,3.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,5.00,8.00,PlayStation 3,Uncharted 3: Traicion de Drake
821,5026555400251,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,6.00,PlayStation 3,Grand Theft Auto IV
821,5030946112869,5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,22.00,PlayStation 3,FIFA 16
821,0711719274551,9.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,12.00,20.00,PlayStation 3,Last Of Us
821,5030934102902,1.20,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,1.90,5.00,PlayStation 3,Battlefield 3
990,5055377602352,2.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,3.00,6.00,PlayStation Vita,Space Hulk
990,711719438519,8.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,11.00,18.00,PlayStation Vita,Minecraft
990,5030934109192,7.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,9.00,15.00,PlayStation Vita,Need For Speed: Most Wanted 12
990,5030934109901,0.90,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.50,4.00,PlayStation Vita,FIFA 13
990,711719287667,1.20,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.90,5.00,PlayStation Vita,Invizimals - La Alianza
990,3307215652312,7.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,9.00,15.00,PlayStation Vita,Assassin's Creed III (3): Liberation
990,5030917114083,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,22.00,PlayStation Vita,Call of Duty Black Ops- Declassified
990,711719200628,8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,11.00,18.00,PlayStation Vita,Uncharted: Golden Abyss
990,711719236542,4.00,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,6.00,10.00,PlayStation Vita,Little Big Planet
990,5030934105927,1.20,/product_images/Juegos/PS Vita Juegos/5030934105927_s.jpg,1.90,5.00,PlayStation Vita,FIFA Football
990,5030939111404,4.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,6.00,10.00,PlayStation Vita,FIFA 14
990,5055377602314,2.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,3.00,6.00,PlayStation Vita,XBlaze Code : Embryo
990,711719251163,8.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,11.00,18.00,PlayStation Vita,Killzone Mercenary
990,5035225113223,12.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,16.00,25.00,PlayStation Vita,FIFA 15
990,711719286417,7.00,/product_images/Juegos/PS Vita Juegos/711719286417_s.jpg,9.00,15.00,PlayStation Vita,Unit 13
862,3307211667679,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.80,5.00,PSP,Assassin's Creed: Bloodlines
862,5026555280785,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.80,5.00,PSP,Grand Theft Auto Vice City Stories
862,711719169772,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.10,0.50,PSP,Invizimals La Otra Dimension (Solo Juego
862,711719151159,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,3.00,PSP,Gran Turismo
862,5026555280143,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.80,5.00,PSP,Grand Theft Auto: Liberty City Stories
862,4005209098892,0.30,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,0.60,2.00,PSP,WWE Smackdown Vs. Raw 2008
862,4012927061879,0.01,/product_images/Juegos/PSP Juegos/4012927061879_s.jpg,0.10,0.50,PSP,Pro Evolution Soccer 6
862,5021290046405,0.80,/product_images/Juegos/PSP Juegos/5021290046405_s.jpg,1.40,4.00,PSP,Lord Of Arcana: Slayer Edition
862,711719908128,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,3.00,PSP,God of War: Chains of Olympus
862,711719646266,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,3.00,PSP,Daxter
862,711719651888,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.90,3.00,PSP,Ratchet & Clank: El Tamano Importa
862,5030934109888,0.80,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,1.40,4.00,PSP,FIFA 13
862,711719678250,0.40,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,0.90,3.00,PSP,Medievil: Resurreccion
862,711719738657,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.10,0.50,PSP,Play Chapas
862,3307210205292,0.30,/product_images/Juegos/PSP Juegos/3307210205292_s.jpg,0.60,2.00,PSP,Prince Of Persia Revelations
831,045496365202,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,18.00,Wii,Mario Kart Wii (Solo Juego)
831,045496368098,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,15.00,25.00,Wii,New Super Mario Bros. Wii
831,045496362201,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,3.00,6.00,Wii,Wii Play (solo juego)
831,045496363932,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,15.00,Wii,Super Mario Galaxy
831,045496362102,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,5.00,Wii,Wii Sports (Solo Juego)
831,045496367473,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,9.00,15.00,Wii,Wii Sports Resort (Solo Juego)
831,045496365899,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,15.00,Wii,Super Smash Bros. Brawl
831,045496367916,2.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,3.00,5.00,Wii,Wii Fit Plus (Solo Juego)
831,045496400736,9.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,13.00,22.00,Wii,Legend of Zelda: Skyward Sword
831,045496368869,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,13.00,22.00,Wii,Super Mario Galaxy 2
831,045496362393,5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,7.00,12.00,Wii,Legend of Zelda: Twilight Princess
831,045496362867,8.00,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,11.00,18.00,Wii,Mario Party 8
996,045496333288,12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,17.00,28.00,Wii U,Mario Kart 8
996,045496332785,12.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,17.00,28.00,Wii U,Super Mario 3D World
996,045496333621,14.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,20.00,32.00,Wii U,Super Smash Bros
996,045496331207,6.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,9.00,15.00,Wii U,New Super Mario Bros. U
996,0045496332716,9.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,12.00,20.00,Wii U,Donkey Kong Country: Tropical Freeze
996,045496331085,5.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,7.00,12.00,Wii U,Nintendo Land
996,045496334475,12.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,17.00,28.00,Wii U,Splatoon
996,045496334161,9.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,12.00,20.00,Wii U,Mario Party 10
996,3307215654293,3.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,8.00,Wii U,ZombiU
996,045496332198,8.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,11.00,18.00,Wii U,New Super Mario Bros. U & Super Luigi U
996,045496334987,13.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,18.00,30.00,Wii U,Super Mario Maker
996,0045496332303,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,12.00,20.00,Wii U,Legend Of Zelda: Wind Waker HD
996,045496335489,12.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,17.00,28.00,Wii U,Legend Of Zelda: Twilight Princess HD
996,5030917114014,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,4.00,7.00,Wii U,Call Of Duty: Black Ops II
996,045496332839,9.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,12.00,20.00,Wii U,Wii Party U (Solo Juego)
827,5026555258098,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,12.00,20.00,Xbox 360,Grand Theft Auto V (5) 2 Disco
827,882224482479,0.70,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,1.10,3.00,Xbox 360,Halo 3
827,5030917125911,4.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,6.00,10.00,Xbox 360,Call Of Duty: Ghosts *2 Disc*
827,5030917085864,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,7.00,12.00,Xbox 360,Call Of Duty: Black Ops
827,5030917111679,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,15.00,Xbox 360,Call Of Duty: Black Ops II
827,5030949111104,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,5.00,Xbox 360,FIFA 14
827,5035228112377,6.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,9.00,15.00,Xbox 360,FIFA 15
827,882224721141,1.80,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,2.00,4.00,Xbox 360,Gears of War 2
827,5030917096891,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5.00,8.00,Xbox 360,Call Of Duty: Modern Warfare 3
827,5030934109734,0.40,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,0.70,2.00,Xbox 360,FIFA 13
827,5055060963852,3.00,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,5.00,8.00,Xbox 360,Resident Evil 6 *2 Disc*
827,0885370606515,6.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,9.00,15.00,Xbox 360,Minecraft
827,5030917071065,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,3.00,5.00,Xbox 360,Call of Duty: Modern Warfare 2
827,882224918343,1.20,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,1.90,5.00,Xbox 360,Forza Motorsport 3 (2 Discos)
1002,5055060965924,42.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,46.00,60.00,Xbox One,Resident Evil 7: Biohazard
1002,0889842121575,18.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,24.00,38.00,Xbox One,Gears of War 4
1002,5035228113763,20.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,27.00,42.00,Xbox One,Battlefield 1
1002,85370663983,8.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,11.00,18.00,Xbox One,Dead Rising 3
1002,5030917181863,14.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,19.00,30.00,Xbox One,Call Of Duty: Black Ops III
1002,5026555284127,19.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,26.00,40.00,Xbox One,Grand Theft Auto V (5)
1002,885370929669,8.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,11.00,18.00,Xbox One,Halo 5: Guardians
1002,885370662023,9.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,13.00,20.00,Xbox One,Forza Motorsport 5
1002,5030934111362,1.40,/product_images/Juegos/Xbox One Juegos/5030934111362_s.jpg,2.00,6.00,Xbox One,Titanfall
1002,5021290073081,20.00,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,27.00,42.00,Xbox One,Final Fantasy XV
1002,889842148671,18.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,24.00,38.00,Xbox One,Dead Rising 4
1002,5030937116425,23.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,28.00,42.00,Xbox One,FIFA 17
1002,885370951844,8.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,11.00,18.00,Xbox One,Gears Of War: Ultimate Edition
1002,3307215969977,19.00,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,26.00,40.00,Xbox One,Watch Dogs 2
1002,5030917147791,3.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5.00,15.00,Xbox One,Call Of Duty: Advanced Warfare
1001,711719838951,21.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,29.00,45.00,PlayStation 4,"Last Guardian, The"
1001,4012927100417,10.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,14.00,22.00,PlayStation 4,Metal Gear Solid V: The Phantom Pain
1001,5030934121637,15.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,20.00,32.00,PlayStation 4,Star Wars: Battlefront
1001,3307215793633,10.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,14.00,22.00,PlayStation 4,Far Cry 4
1001,3307215893227,15.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00,32.00,PlayStation 4,Assassin's Creed: Syndicate
1001,3307215803530,15.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,20.00,32.00,PlayStation 4,Assassin's Creed: Unity
1001,5051893179637,14.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,19.00,30.00,PlayStation 4,Batman: Arkham Knight
1001,711719407515,20.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,27.00,42.00,PlayStation 4,"Last of Us, The - Remastered"
1001,5055856406242,15.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,20.00,32.00,PlayStation 4,Fallout 4
1001,5021290072022,38.00,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,42.00,55.00,PlayStation 4,Kingdom Hearts HD 2.8 Final Chapter Prologue
1001,5055856403418,13.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00,28.00,PlayStation 4,Doom (2016)
1001,5030936111346,13.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,18.00,28.00,PlayStation 4,Battlefield 4
1001,5030947112387,1.20,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,2.00,8.00,PlayStation 4,FIFA 15
1001,3391891979016,18.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,24.00,38.00,PlayStation 4,Witcher 3: Wild Hunt
1001,5030917148019,6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,10.00,28.00,PlayStation 4,Call Of Duty: Advanced Warfare
1001,5055060900574,42.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,46.00,60.00,PlayStation 4,Resident Evil 7: Biohazard
1001,711719866534,19.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,26.00,40.00,PlayStation 4,Uncharted: The Nathan Drake Collection
1001,4020628868550,8.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,11.00,18.00,PlayStation 4,Homefront: The Revolution
1001,3307215889121,20.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,27.00,42.00,PlayStation 4,Rainbow Six: Siege
1001,3307215715239,10.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,14.00,22.00,PlayStation 4,Assassin's Creed 4: Black Flag
1001,5021290074811,24.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,33.00,52.00,PlayStation 4,Rise of the Tomb Raider
1001,711719277071,13.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,18.00,28.00,PlayStation 4,DriveClub
1001,0711719800415,13.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,18.00,28.00,PlayStation 4,Bloodborne
1001,5030917188893,32.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,39.00,58.00,PlayStation 4,Overwatch
1001,5055856410706,18.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,24.00,38.00,PlayStation 4,Dishonored 2 (Sin DLC)
1001,711719843337,14.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,19.00,30.00,PlayStation 4,God of War 3 - Remasterizado
1001,0711719278870,13.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,18.00,28.00,PlayStation 4,InFamous Second Son
1001,5026555422079,24.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,32.00,50.00,PlayStation 4,NBA 2K17
1001,5035223113737,20.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,27.00,42.00,PlayStation 4,Need For Speed (2015)
1001,5021290060869,15.00,/product_images/Juegos/PS4 Juegos/5021290060869_s.jpg,20.00,32.00,PlayStation 4,Tomb Raider: Definitive Edition
1001,5030946112425,7.00,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,9.00,15.00,PlayStation 4,Battlefield Hardline
1001,4012927102336,20.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,27.00,42.00,PlayStation 4,Pro Evolution Soccer 2017
1001,711719439912,19.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,26.00,40.00,PlayStation 4,Minecraft
1001,711719874737,16.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,22.00,35.00,PlayStation 4,Until Dawn
1001,5051893170139,18.00,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,24.00,38.00,PlayStation 4,Dying Light
1001,5030932116925,18.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,24.00,38.00,PlayStation 4,Titanfall 2
1001,5021290069459,16.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,22.00,35.00,PlayStation 4,Just Cause 3
1001,711719848233,16.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,22.00,35.00,PlayStation 4,Ratchet & Clank (2016)
1001,0711719849834,10.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,14.00,22.00,PlayStation 4,No Man's Sky
