titulo,img_caratula,precio_compra,precio_intercambio,categoria_id,categoria_str,precio_venta,sku
Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,9.00,12.00,1001,PlayStation 4,20.00,3307215893227
Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,18.00,24.00,977,Nintendo 3DS,38.00,0045496473358
Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,15.00,20.00,977,Nintendo 3DS,32.00,045496472313
Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,13.00,18.00,977,Nintendo 3DS,28.00,045496526313
Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,10.00,14.00,977,Nintendo 3DS,22.00,045496520830
Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,12.00,16.00,977,Nintendo 3DS,25.00,045496524333
Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,16.00,22.00,977,Nintendo 3DS,35.00,045496473464
Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,14.00,19.00,977,Nintendo 3DS,30.00,045496521301
Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,14.00,19.00,977,Nintendo 3DS,30.00,045496521233
Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,15.00,20.00,977,Nintendo 3DS,32.00,045496523848
Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,10.00,14.00,977,Nintendo 3DS,22.00,045496524227
Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,14.00,19.00,977,Nintendo 3DS,30.00,0045496526283
Legend of Zelda: A Link Between Worlds,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,9.00,13.00,977,Nintendo 3DS,20.00,045496524531
Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,10.00,14.00,977,Nintendo 3DS,22.00,045496526320
New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,14.00,19.00,977,Nintendo 3DS,30.00,045496522582
Pokemon Mundo Megamisterioso,/product_images/Juegos/3DS Juegos/045496529703_s.jpg,13.00,18.00,977,Nintendo 3DS,28.00,045496529703
New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,9.00,12.00,834,Nintendo DS,20.00,045496463106
Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,6.00,9.00,834,Nintendo DS,15.00,045496462338
Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.40,0.70,834,Nintendo DS,2.00,045496462567
Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,4.00,6.00,834,Nintendo DS,10.00,045496463595
Animal Crossing: Wild World,/product_images/Juegos/DS Juegos/045496462543_s.jpg,6.00,9.00,834,Nintendo DS,15.00,045496462543
Pokemon Plata SoulSilver Sin Pokewalker,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,14.00,20.00,834,Nintendo DS,32.00,04549646
Super Mario 64 DS,/product_images/Juegos/DS Juegos/045496462031_s.jpg,9.00,12.00,834,Nintendo DS,20.00,045496462031
Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,6.00,9.00,834,Nintendo DS,15.00,045496464844
NintenDogs Labrador & Friends,/product_images/Juegos/DS Juegos/045496462246_s.jpg,0.80,1.30,834,Nintendo DS,3.50,045496462246
Pokemon Perla,/product_images/Juegos/DS Juegos/045496464936_s.jpg,5.00,7.00,834,Nintendo DS,12.00,045496464936
Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,6.00,9.00,834,Nintendo DS,15.00,045496471118
Pokemon Edicion Blanca 2,/product_images/Juegos/DS Juegos/045496465537_s.jpg,9.00,13.00,834,Nintendo DS,22.00,045496465537
Mas Brain Training,/product_images/Juegos/DS Juegos/045496464721_s.jpg,0.60,0.90,834,Nintendo DS,2.50,045496464721
Mario & Sonic en los Juegos Olimpicos,/product_images/Juegos/DS Juegos/5060138433519_s.jpg,6.00,9.00,834,Nintendo DS,15.00,5060138433519
Mario Party DS,/product_images/Juegos/DS Juegos/045496465896_s.jpg,5.00,7.00,834,Nintendo DS,12.00,045496465896
Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.01,0.10,830,PC,0.50,3307210181862
Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.10,0.30,830,PC,1.00,5060193302294
"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.50,0.90,830,PC,2.50,8436016710770
Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.20,0.40,830,PC,1.50,8436010150275
Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,2.00,3.00,830,PC,10.00,8414185051528
Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.30,0.70,830,PC,2.50,8436010150671
Tropico Dictator Pack (P),/product_images/Juegos/PC Juegos/4260089416369_s.jpg,0.20,0.40,830,PC,1.50,4260089416369
Splinter Cell Chaos Theory,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.01,0.10,830,PC,0.50,3307210220134
Blackguards,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,0.60,830,PC,2.00,8436016710787
"Fuga De Deponia, La",/product_images/Juegos/PC Juegos/8436010154037_s.jpg,0.01,0.10,830,PC,0.50,8436010154037
House Of The Dead 2,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,0.01,0.10,830,PC,0.50,8436010150541
Beyond Good & Evil,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.01,0.10,830,PC,0.50,3307210153470
Prince of Persia Ed. Col.,/product_images/Juegos/PC Juegos/3307210211989_s.jpg,0.10,0.30,830,PC,1.00,3307210211989
Tzar: Edicion de Oro,/product_images/Juegos/PC Juegos/8436010150244_s.jpg,0.10,0.30,830,PC,1.00,8436010150244
"Longest Journey, The (4 Discs)",/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.10,0.20,830,PC,0.75,8420266991255
Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,6.00,9.00,821,PlayStation 3,15.00,5026555410267
Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,3.00,5.00,821,PlayStation 3,15.00,5030917111761
Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,3.00,821,PlayStation 3,6.00,5030917096808
Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,3.00,5.00,821,PlayStation 3,8.00,5030917085802
Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,2.00,3.00,821,PlayStation 3,6.00,5026555400251
FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,5.00,821,PlayStation 3,8.00,5030937112373
Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,3.00,821,PlayStation 3,6.00,5030917126116
Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,6.00,9.00,821,PlayStation 3,15.00,5030917147906
FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.30,0.60,821,PlayStation 3,2.00,5030933111103
FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,9.00,13.00,821,PlayStation 3,22.00,5030946112869
Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,4.00,6.00,821,PlayStation 3,10.00,711719123996
Battlefield 3,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,2.00,3.00,821,PlayStation 3,5.00,5030934102902
Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00,3.00,821,PlayStation 3,6.00,711719190059
FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01,0.01,821,PlayStation 3,0.25,5030934109680
Last Of Us,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,9.00,13.00,821,PlayStation 3,22.00,0711719274551
Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,10.00,14.00,990,PlayStation Vita,22.00,5030917114083
Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,7.00,9.00,990,PlayStation Vita,15.00,711719438519
Virtua Tennis 4: Edicion World Tour,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,8.00,11.00,990,PlayStation Vita,18.00,5055277016259
Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,7.00,9.00,990,PlayStation Vita,15.00,5030934109192
FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,10.00,14.00,990,PlayStation Vita,22.00,5035225113223
FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.40,2.00,990,PlayStation Vita,6.00,5030934109901
Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,9.00,13.00,990,PlayStation Vita,20.00,711719200628
FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,4.00,6.00,990,PlayStation Vita,10.00,5030939111404
Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.40,2.00,990,PlayStation Vita,6.00,711719287667
Metal Gear Solid Hd Colección,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,9.00,13.00,990,PlayStation Vita,20.00,4012927066065
Borderlands 2,/product_images/Juegos/PS Vita Juegos/711719421511_s.jpg,7.00,9.00,990,PlayStation Vita,15.00,711719421511
Gravity Rush,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,8.00,11.00,990,PlayStation Vita,18.00,711719241638
Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00,9.00,990,PlayStation Vita,15.00,3307215652312
LEGO Star Wars: El Despertar De La Fuerza (Episodio 7),/product_images/Juegos/PS Vita Juegos/5051893229387_s.jpg,7.00,9.00,990,PlayStation Vita,15.00,5051893229387
Freedom Wars,/product_images/Juegos/PS Vita Juegos/711719291589_s.jpg,5.00,7.00,990,PlayStation Vita,12.00,711719291589
Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,0.80,1.40,862,PSP,4.00,5026555280143
Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,0.80,1.40,862,PSP,4.00,3307211667679
Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,0.80,1.40,862,PSP,4.00,5026555280785
God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.40,0.90,862,PSP,3.00,711719908128
Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.40,0.90,862,PSP,3.00,711719151159
Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.40,0.90,862,PSP,3.00,711719651888
Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.40,0.90,862,PSP,3.00,711719660071
Little Big Planet,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,0.30,0.70,862,PSP,2.50,711719143451
Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.01,0.10,862,PSP,0.50,8414646244995
Dragon Ball Z Shin Budokai 2,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,0.40,0.90,862,PSP,3.00,3296580803354
Medievil: Resurreccion,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,0.80,1.40,862,PSP,4.00,711719678250
Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.01,0.10,862,PSP,0.50,711719738657
Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.40,0.90,862,PSP,3.00,711719646266
"Geronimo Stilton, En El Reino De La Fant",/product_images/Juegos/PSP Juegos/711719195399_s.jpg,0.20,0.40,862,PSP,1.50,711719195399
God of War: Ghost of Sparta,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,0.90,1.60,862,PSP,4.50,711719168171
Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,8.00,11.00,831,Wii,18.00,045496365202
New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,8.00,11.00,831,Wii,18.00,045496368098
Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,1.80,2.00,831,Wii,4.00,045496362201
Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,4.00,6.00,831,Wii,10.00,045496367473
Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,6.00,9.00,831,Wii,15.00,045496363932
Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,6.00,9.00,831,Wii,15.00,045496365899
Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,9.00,12.00,831,Wii,20.00,045496368869
Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,2.00,3.00,831,Wii,5.00,045496362102
Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,1.80,2.00,831,Wii,4.00,045496367916
Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,6.00,9.00,831,Wii,15.00,045496362393
Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,9.00,13.00,831,Wii,22.00,045496400736
Mario Party 8,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,6.00,9.00,831,Wii,15.00,045496362867
Legend of Zelda: Breath of the Wild,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,43.00,48.00,996,Wii U,62.00,045496337087
Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,9.00,13.00,996,Wii U,22.00,045496333288
Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,9.00,12.00,996,Wii U,20.00,045496332785
Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,12.00,17.00,996,Wii U,28.00,045496333621
Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,9.00,13.00,996,Wii U,22.00,045496334475
Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,6.00,9.00,996,Wii U,15.00,045496334161
Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,12.00,17.00,996,Wii U,28.00,045496334987
Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,3.00,5.00,996,Wii U,8.00,045496331085
New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,5.00,7.00,996,Wii U,12.00,045496331207
Bayonetta 2,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,9.00,12.00,996,Wii U,20.00,045496333713
ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,2.00,3.00,996,Wii U,5.00,3307215654293
Wii Party U (Solo Juego),/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,8.00,11.00,996,Wii U,18.00,045496332839
New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,6.00,9.00,996,Wii U,15.00,045496332198
Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,9.00,13.00,996,Wii U,22.00,0045496332303
Yoshi's Woolly World,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,12.00,17.00,996,Wii U,28.00,045496334697
Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,9.00,12.00,827,Xbox 360,20.00,5026555258098
Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,6.00,9.00,827,Xbox 360,15.00,5030917111679
Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,2.00,3.00,827,Xbox 360,6.00,5030917096891
Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,3.00,5.00,827,Xbox 360,8.00,5026555245968
FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5.00,7.00,827,Xbox 360,12.00,5035228112377
FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,2.00,3.00,827,Xbox 360,6.00,5030949111104
Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,5.00,7.00,827,Xbox 360,12.00,0885370606515
FIFA 13,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,0.40,0.70,827,Xbox 360,2.00,5030934109734
Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,0.90,1.50,827,Xbox 360,4.00,882224721141
Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,2.00,4.00,827,Xbox 360,12.00,5030917085864
Resident Evil 6 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,3.00,5.00,827,Xbox 360,8.00,5055060963852
Assassin's Creed,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,2.00,3.00,827,Xbox 360,5.00,3307210263421
Battlefield 3 *2 Discos*,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,1.40,2.00,827,Xbox 360,6.00,5030934102421
Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,2.00,3.00,827,Xbox 360,6.00,0885370309607
Dead Rising 4,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,17.00,24.00,1002,Xbox One,38.00,889842148671
Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,17.00,24.00,1002,Xbox One,38.00,5026555284127
FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,18.00,26.00,1002,Xbox One,42.00,5030937116425
Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,36.00,44.00,1002,Xbox One,65.00,3307215913161
Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,13.00,18.00,1002,Xbox One,30.00,5030917181863
For Honor,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,32.00,39.00,1002,Xbox One,58.00,3307215915127
Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,13.00,18.00,1002,Xbox One,30.00,0889842121575
Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,9.00,12.00,1002,Xbox One,20.00,885370929669
Gears Of War: Ultimate Edition,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,4.00,6.00,1002,Xbox One,10.00,885370951844
Fallout 4,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,11.00,15.00,1002,Xbox One,25.00,5055856406396
Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,17.00,24.00,1002,Xbox One,38.00,5035228113763
Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,8.00,11.00,1002,Xbox One,18.00,885370662221
Star Wars: Battlefront,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,8.00,11.00,1002,Xbox One,18.00,5030947121631
Mafia III,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,11.00,15.00,1002,Xbox One,25.00,5026555297356
Final Fantasy XV,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,14.00,20.00,1002,Xbox One,32.00,5021290073081
"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,4.00,6.00,1001,PlayStation 4,18.00,3307215804445
Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,12.00,17.00,1001,PlayStation 4,28.00,3307215938782
Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,17.00,24.00,1001,PlayStation 4,38.00,5021290072985
Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,8.00,11.00,1001,PlayStation 4,18.00,3307215803530
Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,2.00,4.00,1001,PlayStation 4,12.00,3307215732939
Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,9.00,12.00,1001,PlayStation 4,20.00,5030934121637
Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,9.00,13.00,1001,PlayStation 4,22.00,5051893179637
"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,15.00,22.00,1001,PlayStation 4,35.00,711719407515
Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,4.00,6.00,1001,PlayStation 4,18.00,3307215793633
Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,9.00,12.00,1001,PlayStation 4,20.00,4012927100417
Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,14.00,20.00,1001,PlayStation 4,32.00,3391891979016
Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,2.00,4.00,1001,PlayStation 4,12.00,5030917124549
Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,11.00,15.00,1001,PlayStation 4,25.00,5055856406242
"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,14.00,20.00,1001,PlayStation 4,32.00,711719838951
FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,0.70,1.50,1001,PlayStation 4,5.00,5030947112387
Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,4.00,6.00,1001,PlayStation 4,18.00,5030936111346
God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,11.00,15.00,1001,PlayStation 4,25.00,711719843337
Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,15.00,22.00,1001,PlayStation 4,35.00,711719866534
Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,13.00,18.00,1001,PlayStation 4,30.00,711719439912
Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,8.00,11.00,1001,PlayStation 4,18.00,5055856403418
Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5.00,8.00,1001,PlayStation 4,22.00,5030917148019
Nioh,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,33.00,40.00,1001,PlayStation 4,60.00,711719817963
Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,18.00,25.00,1001,PlayStation 4,40.00,4012927102336
"Tierra-Media, La: Sombras De Mordor",/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,12.00,17.00,1001,PlayStation 4,28.00,5051893165128
Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,13.00,18.00,1001,PlayStation 4,30.00,5035223113737
Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,2.00,4.00,1001,PlayStation 4,12.00,711719275473
NBA 2K17,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,20.00,28.00,1001,PlayStation 4,45.00,5026555422079
NBA 2K16,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,3.00,5.00,1001,PlayStation 4,15.00,5026555421256
Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,12.00,17.00,1001,PlayStation 4,28.00,0711719800415
Ratchet & Clank (2016),/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,13.00,18.00,1001,PlayStation 4,30.00,711719848233
Mortal Kombat XL,/product_images/Juegos/PS4 Juegos/5051893229059_s.jpg,18.00,26.00,1001,PlayStation 4,42.00,5051893229059
Dragon Ball: Xenoverse,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,12.00,17.00,1001,PlayStation 4,28.00,3391891980685
DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,9.00,12.00,1001,PlayStation 4,20.00,711719277071
Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,9.00,12.00,1001,PlayStation 4,20.00,3307215715239
Until Dawn,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,11.00,15.00,1001,PlayStation 4,25.00,711719874737
Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,13.00,18.00,1001,PlayStation 4,30.00,5055856410706
Hitman: Primera Temporada Completa (Sin DLC),/product_images/Juegos/PS4 Juegos/5021290075924_s.jpg,22.00,31.00,1001,PlayStation 4,50.00,5021290075924
Homefront: The Revolution,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,6.00,9.00,1001,PlayStation 4,15.00,4020628868550
Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,18.00,26.00,1001,PlayStation 4,42.00,5021290074811
