titulo,precio_intercambio,precio_venta,img_caratula,sku,categoria_str,categoria_id,precio_compra
Stasis,0.60,2.00,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,8414606866977,PC,830,0.30
Splinter Cell Chaos Theory,0.10,0.50,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,3307210220134,PC,830,0.01
Call of Juarez: Bound in Blood,0.60,2.00,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,3307211657861,PC,830,0.30
Caos En Deponia,0.20,0.75,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,8436010154587,PC,830,0.10
CSI: Crime Scene Investigation,0.10,0.50,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,3307210136817,PC,830,0.01
Grand Theft Auto V (5),11.00,18.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,5026555410267,PlayStation 3,821,8.00
Call Of Duty: Modern Warfare 3,2.00,4.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,5030917096808,PlayStation 3,821,1.80
Call Of Duty: Ghosts,2.00,4.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,5030917126116,PlayStation 3,821,1.80
Grand Theft Auto IV,3.00,5.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5026555400251,PlayStation 3,821,2.00
Call Of Duty: Black Ops II,5.00,15.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5030917111761,PlayStation 3,821,3.00
Call Of Duty: Advanced Warfare,7.00,12.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,5030917147906,PlayStation 3,821,5.00
Call Of Duty: Black Ops,4.00,7.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5030917085802,PlayStation 3,821,3.00
Call of Duty: Modern Warfare 2,2.00,4.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,5030917070990,PlayStation 3,821,1.80
Uncharted 3: Traicion de Drake,6.00,10.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,711719123996,PlayStation 3,821,4.00
FIFA 15,3.00,8.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5030937112373,PlayStation 3,821,1.90
FIFA 13,0.01,0.25,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,5030934109680,PlayStation 3,821,0.01
Gran Turismo 5,2.00,6.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,711719190059,PlayStation 3,821,1.40
FIFA 14,0.60,2.00,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,5030933111103,PlayStation 3,821,0.30
Minecraft,9.00,15.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,711719412915,PlayStation 3,821,6.00
Last Of Us,13.00,22.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,0711719274551,PlayStation 3,821,9.00
Uncharted: Golden Abyss,11.00,18.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,711719200628,PlayStation Vita,990,8.00
Minecraft,11.00,18.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,711719438519,PlayStation Vita,990,8.00
FIFA 15,14.00,22.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,5035225113223,PlayStation Vita,990,10.00
Call of Duty Black Ops- Declassified,14.00,22.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,5030917114083,PlayStation Vita,990,10.00
Space Hulk,3.00,6.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,5055377602352,PlayStation Vita,990,2.00
Invizimals - La Alianza,1.90,5.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,PlayStation Vita,990,1.20
Jak And Daxter Trilogy,14.00,22.00,/product_images/Juegos/PS Vita Juegos/711719236467_s.jpg,711719236467,PlayStation Vita,990,10.00
Assassin's Creed III (3): Liberation,9.00,15.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,PlayStation Vita,990,7.00
Killzone Mercenary,11.00,18.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,PlayStation Vita,990,8.00
FIFA 13,2.00,6.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5030934109901,PlayStation Vita,990,1.40
Gravity Rush,11.00,18.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,711719241638,PlayStation Vita,990,8.00
Need For Speed: Most Wanted 12,11.00,18.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,PlayStation Vita,990,8.00
XBlaze Code : Embryo,3.00,5.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,5055377602314,PlayStation Vita,990,2.00
FIFA 14,7.00,12.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,PlayStation Vita,990,5.00
Aventuras De Tadeo Jones,7.00,12.00,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,4020628900403,PlayStation Vita,990,5.00
Grand Theft Auto Vice City Stories,1.40,4.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,PSP,862,0.80
Grand Theft Auto: Liberty City Stories,1.40,4.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,PSP,862,0.80
God of War: Chains of Olympus,0.90,3.00,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,PSP,862,0.40
Assassin's Creed: Bloodlines,1.40,4.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,PSP,862,0.80
Gran Turismo,0.90,3.00,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,PSP,862,0.40
Daxter,0.90,3.00,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,711719646266,PSP,862,0.40
Invizimals La Otra Dimension (Solo Juego,0.10,0.50,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,PSP,862,0.01
Invizimals (Solo Juego),0.10,0.50,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,711719142058,PSP,862,0.01
Tekken Dark Resurrection,0.90,3.00,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,711719660071,PSP,862,0.40
Medievil: Resurreccion,1.40,4.00,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,711719678250,PSP,862,0.80
Ratchet & Clank: El Tamano Importa,0.90,3.00,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,711719651888,PSP,862,0.40
Pro Evolution Soccer 2012,0.40,1.50,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,4012927065174,PSP,862,0.20
God of War: Ghost of Sparta,1.60,4.50,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,711719168171,PSP,862,0.90
Pro Evolution Soccer 2009,0.10,0.50,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,4012927063354,PSP,862,0.01
FIFA 12,0.90,3.00,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,5030934104319,PSP,862,0.40
New Super Mario Bros. Wii,11.00,18.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,045496368098,Wii,831,8.00
Mario Kart Wii (Solo Juego),11.00,18.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,Wii,831,8.00
Wii Play (solo juego),2.00,4.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,045496362201,Wii,831,1.80
Super Mario Galaxy,9.00,15.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,045496363932,Wii,831,6.00
Wii Sports Resort (Solo Juego),6.00,10.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,045496367473,Wii,831,4.00
Super Smash Bros. Brawl,9.00,15.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,045496365899,Wii,831,6.00
Legend of Zelda: Twilight Princess,9.00,15.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,045496362393,Wii,831,6.00
Super Mario Galaxy 2,12.00,20.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,045496368869,Wii,831,9.00
Wii Fit Plus (Solo Juego),2.00,4.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,045496367916,Wii,831,1.80
Wii Sports (Solo Juego),3.00,5.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,045496362102,Wii,831,2.00
Legend of Zelda: Skyward Sword,13.00,22.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,045496400736,Wii,831,9.00
Just Dance 4,9.00,15.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,3307215647196,Wii,831,6.00
Mario Party 9,13.00,22.00,/product_images/Juegos/Wii Juegos/045496401467_s.jpg,045496401467,Wii,831,9.00
Mario Kart 8,15.00,25.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,045496333288,Wii U,996,11.00
Nintendo Land,6.00,10.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,045496331085,Wii U,996,4.00
Splatoon,15.00,25.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,045496334475,Wii U,996,11.00
Super Mario Maker,18.00,30.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,045496334987,Wii U,996,13.00
Super Mario 3D World,13.00,22.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,045496332785,Wii U,996,9.00
Legend Of Zelda: Twilight Princess HD,15.00,25.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,045496335489,Wii U,996,11.00
Super Smash Bros,18.00,30.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,045496333621,Wii U,996,13.00
ZombiU,3.00,6.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3307215654293,Wii U,996,2.00
New Super Mario Bros. U & Super Luigi U,9.00,15.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,045496332198,Wii U,996,6.00
Legend Of Zelda: Wind Waker HD,12.00,20.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,0045496332303,Wii U,996,9.00
Pokken Tournament (No Mewtwo Card),18.00,30.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,0045496335618,Wii U,996,13.00
Legend of Zelda: Breath of the Wild,46.00,60.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,045496337087,Wii U,996,42.00
Mario Party 10,11.00,18.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,045496334161,Wii U,996,8.00
Wii Party U (Solo Juego),12.00,20.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,045496332839,Wii U,996,9.00
Donkey Kong Country: Tropical Freeze,12.00,20.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,0045496332716,Wii U,996,9.00
Grand Theft Auto V (5) 2 Disco,12.00,20.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,5026555258098,Xbox 360,827,9.00
Gears of War 2,1.50,4.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,882224721141,Xbox 360,827,0.90
FIFA 14,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5030949111104,Xbox 360,827,2.00
Battlefield 3 *2 Discos*,2.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,5030934102421,Xbox 360,827,1.40
Call Of Duty: Modern Warfare 3,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5030917096891,Xbox 360,827,2.00
Call Of Duty: Black Ops II,9.00,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,5030917111679,Xbox 360,827,6.00
Minecraft,7.00,12.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,0885370606515,Xbox 360,827,5.00
FIFA 13,0.70,2.00,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,5030934109734,Xbox 360,827,0.40
Assassin's Creed,3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,3307210263421,Xbox 360,827,2.00
Call Of Duty: Ghosts *2 Disc*,5.00,8.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5030917125911,Xbox 360,827,3.00
Gears of War,1.30,3.50,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,882224260145,Xbox 360,827,0.80
Call of Duty: Modern Warfare 2,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,5030917071065,Xbox 360,827,2.00
Halo 3,1.10,3.00,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,882224482479,Xbox 360,827,0.70
Call Of Duty: Black Ops,4.00,12.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,5030917085864,Xbox 360,827,2.00
FIFA 17,25.00,40.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,5030937116425,Xbox One,1002,18.00
Gears of War 4,20.00,32.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,0889842121575,Xbox One,1002,14.00
Battlefield 1,25.00,40.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,5035228113763,Xbox One,1002,18.00
Grand Theft Auto V (5),24.00,38.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,5026555284127,Xbox One,1002,17.00
Ryse: Son Of Rome,11.00,18.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,885370662221,Xbox One,1002,8.00
Call Of Duty: Black Ops III,20.00,32.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,5030917181863,Xbox One,1002,14.00
Watch Dogs 2,22.00,35.00,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,3307215969977,Xbox One,1002,15.00
Dead Rising 4,22.00,35.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,889842148671,Xbox One,1002,15.00
Final Fantasy XV,22.00,35.00,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,5021290073081,Xbox One,1002,15.00
Halo Wars 2,39.00,58.00,/product_images/Juegos/Xbox One Juegos/889842149166_s.jpg,889842149166,Xbox One,1002,32.00
Fallout 4,13.00,22.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,5055856406396,Xbox One,1002,9.00
Star Wars: Battlefront,9.00,15.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,5030947121631,Xbox One,1002,6.00
For Honor,42.00,62.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,3307215915127,Xbox One,1002,34.00
Gears Of War: Ultimate Edition,7.00,12.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,885370951844,Xbox One,1002,5.00
Mafia III,17.00,28.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,5026555297356,Xbox One,1002,12.00
Metal Gear Solid V: The Phantom Pain,11.00,18.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,PlayStation 4,1001,8.00
Far Cry 4,11.00,18.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633,PlayStation 4,1001,8.00
Assassin's Creed: Unity,12.00,20.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,PlayStation 4,1001,9.00
Assassin's Creed: Syndicate,13.00,22.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,PlayStation 4,1001,9.00
"Last of Us, The - Remastered",22.00,35.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515,PlayStation 4,1001,15.00
Far Cry Primal,17.00,28.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,3307215938782,PlayStation 4,1001,12.00
Star Wars: Battlefront,12.00,20.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637,PlayStation 4,1001,9.00
Destiny,3.00,10.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,PlayStation 4,1001,2.00
Batman: Arkham Knight,13.00,22.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,5051893179637,PlayStation 4,1001,9.00
Uncharted: The Nathan Drake Collection,22.00,35.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,711719866534,PlayStation 4,1001,15.00
Nioh,42.00,62.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,711719817963,PlayStation 4,1001,34.00
Call Of Duty: Advanced Warfare,8.00,22.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5030917148019,PlayStation 4,1001,5.00
"Last Guardian, The",20.00,32.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,711719838951,PlayStation 4,1001,14.00
Fallout 4,17.00,28.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,5055856406242,PlayStation 4,1001,12.00
Witcher 3: Wild Hunt,18.00,30.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,3391891979016,PlayStation 4,1001,13.00
FIFA 15,1.50,5.00,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5030947112387,PlayStation 4,1001,0.70
Ghost Recon: Wildlands (Sin DLC),54.00,70.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,3307215913024,PlayStation 4,1001,49.00
Battlefield 4,11.00,18.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,5030936111346,PlayStation 4,1001,8.00
Doom (2016),12.00,20.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,5055856403418,PlayStation 4,1001,9.00
God of War 3 - Remasterizado,12.00,20.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,711719843337,PlayStation 4,1001,9.00
Killzone: Shadow Fall,3.00,10.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,711719275473,PlayStation 4,1001,2.00
Bloodborne,17.00,28.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,0711719800415,PlayStation 4,1001,12.00
InFamous Second Son,13.00,22.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,0711719278870,PlayStation 4,1001,9.00
DriveClub,12.00,20.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,711719277071,PlayStation 4,1001,9.00
Rainbow Six: Siege,26.00,42.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,3307215889121,PlayStation 4,1001,18.00
Pro Evolution Soccer 2017,25.00,40.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,4012927102336,PlayStation 4,1001,18.00
Homefront: The Revolution,7.00,12.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,4020628868550,PlayStation 4,1001,5.00
Titanfall 2,20.00,32.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,5030932116925,PlayStation 4,1001,14.00
Dragon Ball Xenoverse 2,36.00,58.00,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,3391891990097,PlayStation 4,1001,26.00
Rise of the Tomb Raider,25.00,40.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,5021290074811,PlayStation 4,1001,18.00
"Tierra-Media, La: Sombras De Mordor",15.00,25.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,5051893165128,PlayStation 4,1001,11.00
Overwatch,32.00,52.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,5030917188893,PlayStation 4,1001,23.00
Dragon Ball: Xenoverse,20.00,32.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,3391891980685,PlayStation 4,1001,14.00
Minecraft,20.00,32.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,711719439912,PlayStation 4,1001,14.00
Until Dawn,17.00,28.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,711719874737,PlayStation 4,1001,12.00
Need For Speed (2015),20.00,32.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,5035223113737,PlayStation 4,1001,14.00
Ratchet & Clank (2016),20.00,32.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,711719848233,PlayStation 4,1001,14.00
Just Cause 3,22.00,35.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,5021290069459,PlayStation 4,1001,15.00
No Man's Sky,12.00,20.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,0711719849834,PlayStation 4,1001,9.00
"Order 1886, The",12.00,20.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,0711719284697,PlayStation 4,1001,9.00
